Method,BuildTime,QueryTime,TotalTime,fraction of the true K most similar documents,Parameters
Brute-Force-Jaccard,0.0,13882.040313720703,13882.040313720703,100%, 
LSH-Jaccard,65.50174641609192,98.56537342071532,164.06711983680725,1.9546666666666237%,"Perm=16, threshold=0.4"
LSH-Jaccard,71.58089852333069,21.38439965248108,92.96529817581175,1.3846666666666514%,"Perm=32, threshold=0.4"
LSH-Jaccard,85.27058100700378,21.80069375038147,107.07127475738524,0.4780000000000053%,"Perm=64, threshold=0.4"
LSH-Jaccard,64.751784324646,16.828859329223633,81.58064365386963,0.2533333333333327%,"Perm=16, threshold=0.6"
LSH-Jaccard,80.92915058135986,23.0451340675354,103.97428464889526,0.14866666666666634%,"Perm=32, threshold=0.6"
LSH-Jaccard,85.26304864883423,21.23489546775818,106.4979441165924,0.11799999999999979%,"Perm=64, threshold=0.6"
LSH-Jaccard,64.06425142288208,16.32762360572815,80.39187502861023,0.1066666666666665%,"Perm=16, threshold=0.8"
LSH-Jaccard,71.6984965801239,18.851691246032715,90.55018782615662,0.1066666666666665%,"Perm=32, threshold=0.8"
LSH-Jaccard,80.91369318962097,21.50870084762573,102.4223940372467,0.10733333333333317%,"Perm=64, threshold=0.8"
LSH-Cosine,33.662925481796265,229.17850494384768,262.8414304256439,0.6820000000000092%,"Hash_size=5, threshold=0.4"
LSH-Cosine,43.30556607246399,45.823137521743774,89.12870359420776,0.1719999999999996%,"Hash_size=10, threshold=0.4"
LSH-Cosine,398.09947681427,99.36016321182252,497.4596400260925,0.10133333333333318%,"Hash_size=100, threshold=0.4"
LSH-Cosine,40.27800488471985,397.5648543834686,437.8428592681885,0.13333333333333308%,"Hash_size=5, threshold=0.6"
LSH-Cosine,45.045363426208496,49.05192947387695,94.09729290008544,0.10933333333333316%,"Hash_size=10, threshold=0.6"
LSH-Cosine,380.4685776233673,96.10235404968262,476.5709316730499,0.10133333333333318%,"Hash_size=100, threshold=0.6"
LSH-Cosine,35.951207876205444,218.0382399559021,253.9894478321076,0.10866666666666651%,"Hash_size=5, threshold=0.8"
LSH-Cosine,45.22055530548096,50.506022453308105,95.72657775878906,0.10466666666666652%,"Hash_size=10, threshold=0.8"
LSH-Cosine,387.6022891998291,95.36415481567383,482.96644401550293,0.10133333333333318%,"Hash_size=100, threshold=0.8"
